datetime,open,high,low,close,volume
2026-05-24 16:45:00+00:00,76481.9,76577.8,76481.9,76565.6,8877.09
2026-05-24 16:50:00+00:00,76565.6,76628.0,76543.6,76600.8,13046.75
2026-05-24 16:55:00+00:00,76600.9,76677.3,76581.0,76644.6,9400.53
2026-05-24 17:00:00+00:00,76644.7,76708.0,76620.8,76665.9,13173.21
2026-05-24 17:05:00+00:00,76666.0,76706.6,76665.6,76681.7,7455.63
2026-05-24 17:10:00+00:00,76681.7,76681.7,76559.4,76600.0,33144.94
2026-05-24 17:15:00+00:00,76599.9,76632.0,76541.5,76541.5,11007.07
2026-05-24 17:20:00+00:00,76541.6,76616.7,76513.6,76616.7,13996.79
2026-05-24 17:25:00+00:00,76616.6,76616.7,76582.4,76588.8,4998.68
2026-05-24 17:30:00+00:00,76588.7,76630.0,76560.2,76598.5,5325.97
2026-05-24 17:35:00+00:00,76598.5,76685.1,76592.7,76685.0,4866.15
2026-05-24 17:40:00+00:00,76685.0,76688.0,76654.2,76665.3,4814.39
2026-05-24 17:45:00+00:00,76665.2,76717.9,76649.7,76699.1,13282.19
2026-05-24 17:50:00+00:00,76699.2,76784.4,76658.7,76684.6,22894.84
2026-05-24 17:55:00+00:00,76684.5,76688.8,76656.4,76657.1,5219.99
2026-05-24 18:00:00+00:00,76657.0,76681.0,76632.0,76632.0,7793.45
2026-05-24 18:05:00+00:00,76632.0,76659.0,76600.0,76651.5,7449.38
2026-05-24 18:10:00+00:00,76651.4,76741.1,76650.1,76709.1,8910.08
2026-05-24 18:15:00+00:00,76709.1,76756.0,76691.7,76721.5,7621.71
2026-05-24 18:20:00+00:00,76721.5,76729.7,76652.6,76680.8,5794.54
2026-05-24 18:25:00+00:00,76680.8,76682.9,76639.4,76650.0,8095.13
2026-05-24 18:30:00+00:00,76650.1,76650.1,76570.0,76606.6,11883.53
2026-05-24 18:35:00+00:00,76606.6,76680.0,76606.6,76680.0,3688.83
2026-05-24 18:40:00+00:00,76680.0,76680.0,76600.0,76612.5,3425.98
2026-05-24 18:45:00+00:00,76612.4,76645.9,76555.8,76584.0,3729.42
2026-05-24 18:50:00+00:00,76584.1,76630.9,76561.9,76630.9,3332.0
2026-05-24 18:55:00+00:00,76630.8,76652.7,76625.4,76629.6,2681.93
2026-05-24 19:00:00+00:00,76629.7,76718.0,76620.0,76635.5,8220.17
2026-05-24 19:05:00+00:00,76635.5,76675.0,76635.5,76656.9,1976.18
2026-05-24 19:10:00+00:00,76656.9,76670.1,76600.9,76600.9,2878.37
2026-05-24 19:15:00+00:00,76601.0,76717.3,76575.4,76670.2,17744.02
2026-05-24 19:20:00+00:00,76670.2,76674.4,76650.0,76665.6,5050.59
2026-05-24 19:25:00+00:00,76665.5,76665.6,76603.4,76628.1,4354.57
2026-05-24 19:30:00+00:00,76628.1,76634.4,76611.7,76621.1,4676.32
2026-05-24 19:35:00+00:00,76621.0,76650.6,76621.0,76648.5,15605.58
2026-05-24 19:40:00+00:00,76648.5,76704.2,76648.4,76676.5,2792.1
2026-05-24 19:45:00+00:00,76676.6,76733.3,76672.6,76720.5,2545.58
2026-05-24 19:50:00+00:00,76720.5,76735.1,76711.4,76735.0,3155.46
